0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1,33,45,,,,,,,,,,,,
1,3,14,,,,,,,,,,,,,
1,7,73,,,,,,,,,,,,,
1,9,22,,,,,,,,,,,,,
1,13,77,79,,,,,,,,,,,,
1,15,36,,,,,,,,,,,,,
1,19,75,,,,,,,,,,,,,
1,21,230,,,,,,,,,,,,,
1,25,74,,,,,,,,,,,,,
1,27,38,,,,,,,,,,,,,
1,31,388,,,,,,,,,,,,,
1,33,235,,,,,,,,,,,,,
1,37,402,,,,,,,,,,,,,
1,46,76,,,,,,,,,,,,,
2,1,33,45,73,,,,,,,,,,,
2,9,22,,,,,,,,,,,,,
2,13,77,79,,,,,,,,,,,,
2,15,36,,,,,,,,,,,,,
2,20,75,,,,,,,,,,,,,
2,23,230,,,,,,,,,,,,,
2,28,74,,,,,,,,,,,,,
2,31,38,,,,,,,,,,,,,
2,36,388,,,,,,,,,,,,,
2,39,235,,,,,,,,,,,,,
2,44,76,,,,,,,,,,,,,
3,1,22,33,45,73,,,,,,,,,,
3,13,77,79,,,,,,,,,,,,
3,15,36,,,,,,,,,,,,,
3,20,75,,,,,,,,,,,,,
3,23,230,,,,,,,,,,,,,
3,28,74,,,,,,,,,,,,,
3,31,38,,,,,,,,,,,,,
3,32,80,,,,,,,,,,,,,
3,39,388,,,,,,,,,,,,,
3,45,235,,,,,,,,,,,,,
3,50,572,,,,,,,,,,,,,
3,53,76,,,,,,,,,,,,,
4,1,10,45,,,,,,,,,,,,
4,7,52,,,,,,,,,,,,,
4,10,108,,,,,,,,,,,,,
4,13,232,,,,,,,,,,,,,
4,15,43,,,,,,,,,,,,,
4,16,82,,,,,,,,,,,,,
4,19,99,184,,,,,,,,,,,,
4,25,424,,,,,,,,,,,,,
4,28,163,481,,,,,,,,,,,,
4,31,53,,,,,,,,,,,,,
4,37,83,,,,,,,,,,,,,
4,46,517,,,,,,,,,,,,,
5,1,10,45,52,,,,,,,,,,,
5,13,108,232,,,,,,,,,,,,
5,15,43,,,,,,,,,,,,,
5,24,99,,,,,,,,,,,,,
5,27,184,,,,,,,,,,,,,
5,28,424,,,,,,,,,,,,,
5,32,481,,,,,,,,,,,,,
5,33,163,,,,,,,,,,,,,
5,42,53,,,,,,,,,,,,,
5,48,82,,,,,,,,,,,,,
5,54,517,,,,,,,,,,,,,
5,56,83,,,,,,,,,,,,,
6,1,10,43,45,52,108,232,257,337,403,421,,,,
6,24,99,,,,,,,,,,,,,
6,27,184,,,,,,,,,,,,,
6,28,424,,,,,,,,,,,,,
6,32,481,,,,,,,,,,,,,
6,36,163,17,,,,,,,,,,,,
6,46,53,,,,,,,,,,,,,
6,54,82,,,,,,,,,,,,,
6,55,83,,,,,,,,,,,,,
6,62,517,,,,,,,,,,,,,
6,66,394,,,,,,,,,,,,,
7,1,33,39,,,,,,,,,,,,
7,8,145,,,,,,,,,,,,,
7,15,55,,,,,,,,,,,,,
